Bin_Center,Bin_edge,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6
2527.5,2525,0,0,0,56,495,224
2532.5,2530,0,0,1,52,421,195
2537.5,2535,0,0,0,55,468,222
2542.5,2540,0,0,1,53,418,208
2547.5,2545,0,0,1,66,412,219
2552.5,2550,0,0,0,49,451,207
2557.5,2555,0,0,0,49,428,224
2562.5,2560,0,0,0,53,404,191
2567.5,2565,0,0,0,47,380,226
2572.5,2570,0,0,0,72,381,242
2577.5,2575,0,0,0,52,375,243
2582.5,2580,0,0,0,48,388,222
2587.5,2585,0,0,0,61,339,220
2592.5,2590,0,0,0,55,367,255
2597.5,2595,0,0,0,66,376,253
2602.5,2600,0,0,0,57,345,230
2607.5,2605,0,0,0,53,337,242
2612.5,2610,0,0,0,39,358,275
2617.5,2615,0,0,0,57,390,244
2622.5,2620,0,0,0,52,370,244
2627.5,2625,0,0,0,48,392,286
2632.5,2630,0,0,0,60,341,253
2637.5,2635,0,0,0,51,335,280
2642.5,2640,0,0,0,40,319,287
2647.5,2645,0,0,0,56,381,299
2652.5,2650,0,0,0,61,331,276
2657.5,2655,0,0,0,48,360,284
2662.5,2660,0,0,0,49,368,324
2667.5,2665,0,0,0,59,366,321
2672.5,2670,0,0,0,47,330,338
2677.5,2675,0,0,0,43,356,317
2682.5,2680,0,0,0,51,362,295
2687.5,2685,0,0,0,55,337,349
2692.5,2690,0,0,0,59,351,329
2697.5,2695,0,0,0,58,318,345
2702.5,2700,0,0,0,39,353,314
2707.5,2705,0,0,0,31,351,298
2712.5,2710,0,0,0,46,390,343
2717.5,2715,0,0,0,42,366,331
2722.5,2720,0,0,0,45,354,324
2727.5,2725,0,0,0,50,385,348
2732.5,2730,0,0,0,50,353,324
2737.5,2735,0,0,0,38,337,315
2742.5,2740,0,0,0,37,363,310
2747.5,2745,0,0,0,51,386,353
2752.5,2750,0,0,0,38,366,330
2757.5,2755,0,0,0,35,340,292
2762.5,2760,0,0,0,41,344,329
2767.5,2765,0,0,0,50,354,297
2772.5,2770,0,0,0,29,355,309
2777.5,2775,0,0,0,45,386,347
2782.5,2780,0,0,0,38,358,306
2787.5,2785,0,0,0,35,356,305
2792.5,2790,0,0,0,47,334,326
2797.5,2795,0,0,0,33,361,295
2802.5,2800,0,0,0,40,297,331
2807.5,2805,0,0,0,35,344,278
2812.5,2810,0,0,0,27,332,278
2817.5,2815,0,0,0,37,285,267
